ID,  Milk,ChdBby,Vegges, Cerel, Bread,  Rice,  Meat,  Eggs,YogChs, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,  Salt,Scented, Salza
 1,     8,     5,     8,     7,     0,     5,     3,     2,     8,     2,     2,     5,     1,     4,     4,     6,     3,     1,     2,     4
 2,    10,     9,     6,     8,     9,     5,     6,     4,     6,     0,     1,     3,     5,     3,     5,     5,     1,     1,     5,     4
 3,     4,     3,     7,     1,     0,     5,     3,     1,     8,     1,     0,     7,     5,     1,     3,     4,     2,     3,     2,     0
 4,     3,     4,    10,     5,     0,     5,     4,     1,     9,     1,     1,     8,     2,     1,     1,     7,     3,     5,     0,     2
 5,     7,     6,     7,     4,     0,     5,     2,     2,     6,     1,     1,     6,     3,     3,     3,     5,     6,     2,     0,     1
 6,     3,     2,     5,    10,     5,     5,     9,     4,     1,    10,     9,     5,     7,     5,     6,     4,     8,     1,     3,     5
 7,    10,     6,     7,     8,     8,     6,     9,     5,     4,     2,     4,     7,     6,     0,     2,     6,     1,     4,     6,     4
 8,    10,    10,     7,     8,     5,    10,     6,     6,     6,     1,     0,     5,     3,     2,     3,     4,     1,     4,     4,     2
 9,     9,     8,     7,    10,     8,     6,     9,     4,     8,     2,     0,     8,     3,     3,     3,     7,     0,     0,     7,     0
10,     6,     5,     6,     6,     8,     7,     4,     5,     5,     9,     0,     5,     5,     8,     6,     5,     8,     4,     5,     0
11,     5,     5,     4,     4,     5,     6,     4,     3,     6,     9,     1,     8,     6,     9,     3,     2,     6,     2,     4,     3
12,     0,     3,     2,     9,     6,     3,     9,     7,     1,    10,     8,    10,     5,     3,    10,     7,     6,     3,     5,     3
13,     2,     6,     8,     4,     1,     6,     5,     3,     9,     2,     3,     4,     3,     3,     3,     4,     4,     6,     0,     4
14,     5,     4,     5,     7,     8,     4,     8,     5,     7,     9,     4,     7,     4,     5,     4,     2,     5,     1,     4,     2
15,     9,     8,     9,     8,     7,     7,     7,     3,     8,     1,     0,     7,     5,     0,     2,     2,     0,     1,     6,     1
16,     8,     4,     8,     7,     6,     7,     7,     5,     6,     8,     0,     5,     5,     5,     3,     6,     9,     4,     4,     3
17,    10,     7,     8,     8,     8,     8,     7,     5,     8,     4,     0,     4,     2,     5,     4,     5,     2,     3,     7,     1
18,    10,     8,     7,     6,     8,     5,     8,     3,     9,     2,     0,     6,     5,     3,     1,     3,     1,     5,     4,     3
19,     0,     3,     0,     9,     4,     6,     9,     7,     2,     8,     6,     6,     7,     5,     7,     8,     7,     3,     7,     7
20,     2,     2,     2,     7,     2,     5,     8,     7,     1,     6,    10,     3,     8,     4,     8,     6,     5,     5,     7,     3
21,     4,     1,     1,     5,     3,     7,     9,     7,     1,     7,     8,     4,     6,     0,     8,     2,     5,     4,     5,     4
22,     8,     4,    10,     3,     0,     5,     3,     4,    10,     3,     0,     7,     3,     1,     1,     6,     6,     5,     0,     2
23,     7,     8,     3,     6,     1,     3,     3,     2,     9,     1,     0,     7,     4,     3,     3,     6,     4,     3,     0,     2
24,     3,     3,     2,     8,     2,     5,     7,     6,     1,     6,     9,     6,     6,     3,     8,     4,     8,     7,     5,     4
25,     1,     4,     2,     8,     4,     8,     9,     7,     1,     9,     5,     6,     5,     5,     8,     4,     7,     2,     6,     6
26,     9,     9,     6,     7,     6,     8,     6,     6,     3,     1,     2,     3,     4,     3,     1,     6,     0,     1,     5,     1
27,     1,     3,     0,     9,     1,     5,     7,     6,     5,    10,     6,     2,     9,     1,     7,     4,     6,     3,     3,     4
28,     5,     3,     4,     7,     4,     6,     8,     6,     6,     7,     0,     3,     4,     5,     3,     6,     8,     3,     4,     2
29,     2,     2,     8,    10,     7,     8,     8,     4,     6,     9,     0,     4,     3,    10,     4,     7,     8,     4,     4,     4
30,     4,     6,     7,     4,     2,     4,     3,     2,     7,     1,     1,     3,     4,     2,     3,     5,     6,     1,     0,     3
31,     4,     2,     6,     7,     7,     6,    10,     5,     4,     5,     2,     7,     3,     8,     2,     3,     8,     3,     6,     1
32,     4,     5,     9,     1,     1,     7,     4,     2,     6,     3,     2,     7,     3,     3,     3,     3,     4,     4,     0,     2
33,     3,     1,     1,     9,     3,     7,     9,     5,     1,     8,     9,     5,    10,     1,     7,     4,    10,     4,     3,     6
34,     4,     4,    10,     6,     6,     8,     7,     6,     6,     8,     2,     5,     6,     5,     4,     5,     8,     3,     4,     1
35,     1,     2,     2,     8,     2,     7,     8,     7,     1,     6,     4,     4,     9,     2,     8,     5,     7,     5,     5,     2
36,     7,     6,     6,     7,     6,     8,     5,     7,     6,     8,     1,     7,     3,     8,     1,     7,     6,     5,     3,     0
37,     0,     4,     1,     7,     1,     3,     9,     4,     0,     9,     7,     5,     8,     1,     8,     6,     7,     5,     4,     2
38,     6,     3,     9,     6,     7,     6,     8,     4,     6,     8,     2,     5,     4,     6,     6,     7,     6,     2,     3,     0
39,     5,     4,     9,     8,     4,     8,     5,     6,     5,     9,     2,     7,     6,     6,     3,     4,     6,     1,     5,     1
40,     5,     3,     3,     9,     2,     8,     8,     7,     2,     7,     7,     6,     6,     3,     8,     5,     6,     2,     4,     5
41,     1,     2,     3,     6,     3,     5,     6,     6,     2,     8,     6,     5,     9,     3,     8,     4,     9,     1,     8,     5
42,     6,     4,     8,     5,     5,     7,     6,     5,     4,     7,     0,     3,     3,     6,     5,     8,     7,     3,     3,     1
43,     4,     4,     8,     8,     5,     4,     8,     2,     4,    10,     3,     6,     2,     6,     1,     5,     8,     1,     5,     1
44,     5,     5,     3,     7,     7,     7,     7,     6,     4,     8,     1,     7,     4,     5,     4,     1,     7,     2,     5,     2
45,     2,     2,     2,     7,     2,     8,     9,     8,     3,     7,     8,     8,     7,     4,     6,     6,     8,     4,     1,     3
46,     5,     4,     5,     8,     4,     7,     6,     5,     7,     8,     0,     9,     4,     5,     4,     6,     5,     5,     6,     2
47,     4,     0,     1,     7,     3,     7,    10,     3,     1,     8,     6,     8,     7,     2,     9,     4,     8,     4,     3,     5
48,     2,     2,     4,     8,     4,     8,     9,     6,     0,     9,     8,     5,     9,     2,    10,     2,     7,     1,     7,     8
49,     4,     3,     5,     7,     6,     6,     5,     6,     5,     9,     0,     6,     3,     6,     4,     4,     8,     2,     3,     2
50,     5,     1,     1,     8,     1,     4,     9,     7,     0,     7,     9,     7,     7,     2,     9,     2,     6,     4,     4,     5
51,     5,     5,     7,     2,     1,     2,     5,     4,     9,     3,     2,     7,     4,     2,     4,     5,     4,     4,     0,     3
52,     3,     4,     4,     9,     3,     8,     9,     7,     3,    10,     6,     5,     7,     1,     8,     4,     9,     3,     6,     7
53,     4,     4,     7,     8,     8,     3,     3,     4,     7,     8,     0,     9,     3,     9,     3,     4,     9,     1,     6,     3
54,     2,     1,     0,     9,     5,     6,     9,     6,     0,    10,     7,     5,     9,     2,    10,     6,     7,     1,     5,     3
55,     7,     5,    10,     3,     1,     7,     1,     1,     8,     0,     1,     8,     4,     1,     3,     5,     4,     3,     1,     3
56,    10,     9,     9,     6,     5,     7,     9,     4,     5,     2,     0,     7,     4,     2,     4,     4,     1,     6,     4,     1
57,     6,     6,     4,     5,     7,     3,     7,     5,     2,     8,     0,     8,     5,     8,     4,     5,     6,     5,     4,     0
58,     1,     4,     1,     9,     3,     5,     7,     6,     0,     8,     5,     8,     7,     3,     6,     4,     5,     4,     6,     4
59,     9,     8,     8,    10,     8,     7,     6,     6,     8,     2,     3,     7,     2,     1,     2,     6,     2,     4,     3,     3
60,     4,     9,     7,     5,     1,     5,     2,     4,    10,     1,     0,     5,     1,     0,     6,     6,     5,     2,     0,     4